"location1","max","total_cases","total_deaths","deathpercentage","totalvaccinations","fullyvaccinated","vaccinationpercentage"
Afghanistan,"39835428",157585,7321,4.6457467398546815,"962093","96910",8.952312499315935
Albania,"2872934",202863,3128,1.5419273105494842,"994081","982658",34.20398797883975
Algeria,"44616626",212224,6126,2.886572677925211,"9989662","724812",12.083459650220973
Andorra,"77354",19272,133,0.6901203819012038,"95918","8303",65.06838689660522
Angola,"33933611",65346,1736,2.6566277966516694,"9847459","983587",9.771306095304741
Anguilla,"15125",,,,"6898","9223",60.97851239669422
Antigua and Barbuda,"98728",4151,117,2.81859792821007,"99846","9250",58.08382627015639
Argentina,"45605823",5350867,116719,2.1813100568562067,"9927783","988021",67.17599417074437
Armenia,"2968128",341768,7747,2.266742351536715,"890797","98586",17.41801566509261
Aruba,"107195",,,,"97921","78373",73.11255189141285
Australia,"25788217",225625,2084,0.9236565096952908,"996214","9853616",74.4409084195313
Austria,"9043072",1217436,13011,1.068721476940061,"9969971","980550",67.49516093646054
Azerbaijan,"10223344",601028,8038,1.3373752969911552,"9983606","992847",45.04999538311535
Bahamas,"396914",22859,705,3.08412441489129,"99755","88265",34.83525398449034
Bahrain,"1748295",277964,1394,0.5015037918579385,"989363","996404",66.60918208883511
Bangladesh,"166303494",1578550,28016,1.774793322986285,"9992849","930151",24.497230948136302
Barbados,"287708",26565,246,0.9260304912478825,"97329","99921",48.21520430436414
Belarus,"9442867",669631,5227,0.7805791547882341,"924926","980867",30.346143814161525
Belgium,"11632334",1914527,27463,1.4344535229850508,"993674","992967",75.03124480435311
Belize,"404915",30991,586,1.8908715433512955,"996","9668",48.21505748119976
Benin,"12451031",24897,161,0.6466642567377595,"827261","9920",7.044500973453524
Bermuda,"62092",,,,"92770","8645",76.28196869161889
Bhutan,"779900",2648,3,0.11329305135951663,"963360","99356",72.39530709065265
Bolivia,"11832936",547892,19276,3.5182116183481416,"998818","9996",35.84764592658999
Bonaire Sint Eustatius and Saba,"26445",,,,"7391","16736",63.286065418793726
Bosnia and Herzegovina,"3263459",280469,12882,4.593020975580188,"928126","720631",22.08181564407581
Botswana,"2397240",196090,2421,1.2346371564077718,"943915","91482",22.027248001868816
Brazil,"213993441",22026953,616457,2.798648546623766,"99828676","99520881",64.919913129487
British Virgin Islands,"30423",,,,"34992","9398",54.90582782763042
Brunei,"441532",15301,98,0.64048101431279,"99795","9899",83.18219291014015
Bulgaria,"6896655",711364,29382,4.130374885431368,"999287","999878",26.51781189576686
Burkina Faso,"21497097",16334,290,1.7754377372352148,"98670","323767",1.5060963812927857
Burundi,"12255429",20610,38,0.18437651625424553,"81","914",0.012011003449981229
Cambodia,"16946446",120312,2974,2.4719063767537732,"9877592","9890449",79.79047052107563
Cameroon,"27224262",107549,1823,1.6950413299984195,"97245","903",2.247260182847197
Canada,"38067913",1831341,29930,1.6343215163096332,"989093","997098",76.61927513599183
Cape Verde,"561901",38482,351,0.9121147549503664,"99686","94997",44.53417950848993
Cayman Islands,"66498",,,,"99790","8878",84.49427050437606
Central African Republic,"4919987",11742,101,0.8601601090103901,"95862","9901",6.807050506434265
Chad,"16914985",5703,181,3.173768192179555,"98302","9662",0.4522853552633952
Chile,"19212362",1778370,38600,2.1705269432120424,"9941641","9989719",84.43764488718254
China,"1444216102",99046,4619,4.663489691658421,"990257000","969720000",77.89692958291086
Colombia,"51265841",5088008,128969,2.5347640962828675,"9935","9876044",50.03154049496623
Comoros,"888456",4556,151,3.3143107989464444,"90880","588",27.16060221327787
Congo,"5657017",19066,359,1.8829329696842547,"686096","95043",2.4032807396548392
Cook Islands,"17572",,,,"9564","9578",66.73116321420441
Costa Rica,"5139053",567906,7328,1.2903543896349043,"9751","899571",63.79169469550129
Cote d'Ivoire,"27053629",61863,706,1.1412314307421239,"990305","978421",5.206177699856829
Croatia,"4081657",644206,11445,1.7766056199414473,"979181","99027",49.241276275787015
Cuba,"11317498",963428,8311,0.862648791606638,"9894050","961917",82.33810158393666
Curacao,"164796",,,,"97504","95730",58.090002184519044
Cyprus,"896005",139368,607,0.43553756959990814,"994390","94730",65.80153012538993
Czechia,"10724553",2298441,34129,1.4848760529419724,"9988115","993157",60.22517675095642
Democratic Republic of Congo,"92377986",59208,1115,1.8831914606134308,"97818","68345",0.07398407668251178
Denmark,"5813302",542181,2996,0.5525829935021699,"9997534","98967",77.1207310406375
Djibouti,"1002197",13514,188,1.3911499186029301,"99679","8810",2.602981250193325
Dominica,"72172",6208,42,0.6765463917525774,"9464","9323",37.23881837831846
Dominican Republic,"10953714",409490,4214,1.0290849593396665,"9992472","976512",51.48617172221221
Ecuador,"17888474",530126,20856,3.9341590489808085,"999929","9999427",64.29722848354757
Egypt,"104258327",366634,20919,5.705690143303676,"9391465","979639",16.140649369905965
El Salvador,"6518500",119803,3791,3.1643614934517497,"99855","965208",62.89517527038429
Equatorial Guinea,"1449891",13599,175,1.2868593278917566,"75518","99605",13.70385773827136
Eritrea,"3601462",7583,62,0.8176183568508506,,,
Estonia,"1325188",226858,1838,0.8101984501318006,"993632","99554",60.18919579712464
Eswatini,"1172369",50337,1248,2.479289588175696,"87998","9768",24.129433651009197
Ethiopia,"117876226",372711,6819,1.8295676811255905,"9993402","992233",1.2330272603060772
Faeroe Islands,"49053",,,,"9959","9863",77.75671212769862
Falkland Islands,"3528",,,,"4407","1775",50.31179138321995
Fiji,"902899",52567,697,1.3259269123214183,"975268","97268",65.27607185299796
Finland,"5548361",199257,1406,0.7056213834394777,"981534","986115",73.2510736053404
France,"67564251",8604023,121153,1.4080971192196952,"99927399","9933351",70.66174980612159
French Polynesia,"282534",,,,"9692","9324",55.20008211401106
Gabon,"2278829",37551,281,0.7483156240845783,"8897","9973",6.234868873443334
Gambia,"2486937",9998,342,3.4206841368273655,"5345","226037",9.088971694900193
Georgia,"3979773",879368,12582,1.430800302035098,"979813","995303",25.967687101751785
Germany,"83900471",6442846,105000,1.6297145702380593,"99847567","981724",68.65783864312276
Ghana,"31732128",131246,1228,0.9356475625923838,"847871","842225",2.654171192048639
Gibraltar,"33691",,,,"99749","9522",118.34020955151227
Greece,"10370747",989814,18982,1.9177340389204438,"9950017","986552",64.85099867926583
Greenland,"56868",,,,"9996","9999",66.11275233874937
Grenada,"113015",5910,200,3.3840947546531304,"9821","985",30.609211166659296
Guatemala,"18249868",621328,16020,2.5783483120026784,"9932189","982296",23.38478283788135
Guernsey,"63385",,,,"99689","8254",21.48457837027688
Guinea,"13497237",30798,388,1.2598220663679458,"980005","98558",6.026989079320456
Guinea-Bissau,"2015490",6445,149,2.3118696664080685,"94715","9730",1.0023369007040472
Guyana,"790329",38402,1014,2.640487474610697,"73600","98635",35.87176985786932
Haiti,"11541683",25744,758,2.9443753884400246,"9630","9744",0.5795341979155033
Honduras,"10062994",378423,10415,2.7522111499565303,"980363","79737",38.672158604089404
Hong Kong,"7552800",12478,213,1.7070043276166051,"981094","986633",60.445424213536704
Hungary,"9634162",1176038,36263,3.0834887988313304,"974524","9403",61.021923858037674
Iceland,"343360",19052,35,0.18370774721813982,"98672","98882",82.1875
India,"1393409033",34674643,474479,1.3683745785068357,"997399032","99893015",35.747007605339675
Indonesia,"276361788",4258560,143918,3.379499173429516,"98966499","998439",36.60039607212268
Iran,"85028760",6147872,130524,2.1230760822606585,"98181400","9684669",56.62765280829687
Iraq,"41179351",2086702,23943,1.1474086860510029,"9632835","5028072",12.210177863172248
Ireland,"4982904",610855,5788,0.947524371577543,"988560","99556",76.40026779564688
Isle of Man,"85410",,,,"99842","9909",75.95948952113336
Israel,"9291000",1348800,8210,0.6086892052194542,"9968991","970200",62.296340544613074
Italy,"60367471",5164780,134551,2.60516420834963,"99831894","996008",73.28543214937727
Jamaica,"2973462",91601,2416,2.637525791203153,"994691","77025",17.87159210374977
Japan,"126050796",1727656,18367,1.0631167315715628,"99651092","995758",77.7001693825083
Jersey,"101073",,,,"99736","9129",74.9735339803904
Jordan,"10269022",998492,11879,1.1896940586404299,"919922","998765",37.06909966694005
Kazakhstan,"18994958",1061645,17985,1.694069109730654,"9866185","973873",43.39816387064399
Kenya,"54985702",255796,5339,2.0872101205648255,"989029","967553",5.668808229455722
Kiribati,"121388",2,,,"82167","8384",18.679770652782814
Kosovo,"1782115",161176,2986,1.85263314637415,"995930","99377",43.14053806853093
Kuwait,"4328553",413608,2466,0.596216707607203,"860000","923307",73.46291012262066
Kyrgyzstan,"6628347",183810,2764,1.5037266742832271,"989905","931230",14.049204122837866
Laos,"7379358",84503,224,0.2650793462953978,"993659","988156",41.995563841732576
Latvia,"1866934",260008,4349,1.6726408418202516,"99391","994289",65.47719415897937
Lebanon,"6769151",685162,8814,1.2864110969376585,"985318","997575",25.591924304835274
Lesotho,"2159067",21838,663,3.0359923069878194,"72948","618414",28.64264981123791
Liberia,"5180208",5832,287,4.921124828532236,"93617","9135",9.194148188644162
Libya,"6958538",376873,5529,1.467072462076084,"889957","726260",10.436962476888105
Liechtenstein,"38254",5229,65,1.2430675081277491,"9959","9735",66.04015266377372
Lithuania,"2689862",486224,6920,1.423212346572773,"990578","994042",66.8522771800189
Luxembourg,"634814",93060,889,0.955297657425317,"99380","9985",67.689906019716
Macao,"658391",,,,"98021","98665",67.8251980965718
Madagascar,"28427333",44800,972,2.169642857142857,"97300","541160",1.9036608182695154
Malawi,"19647681",62088,2307,3.7156938538848086,"992736","9466",3.169208620600059
Malaysia,"32776195",2678465,30787,1.1494270038996217,"9921188","9999610",77.6429966931793
Maldives,"543620",92754,255,0.2749207581344201,"99419","97339",67.15095103197086
Mali,"20855724",18329,622,3.3935293796715587,"963968","86477",1.6720973100718055
Malta,"516100",40269,468,1.1621843105118081,"981712","99574",83.9812051927921
Marshall Islands,"59618",4,,,,,
Mauritania,"4775110",39704,846,2.1307676808382023,"7038","8858",14.61507693016496
Mauritius,"1273428",22310,240,1.0757507844016136,"901530","914936",71.8482709662423
Mexico,"130262220",3911714,291916,7.462611019108248,"99868671","99666",50.316259772019855
Micronesia (country),"116255",1,,,,,
Moldova,"4024025",368497,9315,2.52783604751192,"99639","9825",23.636135461385056
Monaco,"39520",4006,36,0.8986520219670495,"49980","8795",58.977732793522264
Mongolia,"3329282",384912,2028,0.5268736750218231,"9531","944249",64.73639060914635
Montenegro,"628051",159214,2342,1.470976170437273,"94291","99541",41.72638846208349
Montserrat,"4981",,,,"932","616",28.448102790604295
Morocco,"37344787",951092,14794,1.5554751801087592,"9864561","9924212",61.17241209596402
Mozambique,"32163045",152586,1941,1.2720695214501987,"9706476","96675",13.362621605012833
Myanmar,"54806014",525403,19157,3.6461535240567713,"9001616","9561157",21.63740278575997
Namibia,"2587344",130230,3575,2.7451432081701603,"99782","9574",12.332337717752258
Nauru,"10873",,,,"9313","7251",66.68812655200956
Nepal,"29674920",823554,11549,1.4023367016613362,"9799013","964508",29.404578007286965
Netherlands,"17173094",2870459,20372,0.7097122794647127,"9933050","9993434",74.37317352365275
New Caledonia,"288217",,,,"98747","98491",59.27235381674225
New Zealand,"5122600",12623,44,0.3485700705062188,"999734","99071",72.80324444617968
Nicaragua,"6702379",17328,214,1.2349953831948293,"999990","563164",37.255383498903896
Niger,"25130810",7131,265,3.716168840274856,"971636","86445",1.8479826157612906
Nigeria,"211400704",215164,2980,1.3849900540982694,"9846182","90735",1.8180341537557037
Niue,"1614",,,,"698","32",71.25154894671624
North Macedonia,"2082661",218362,7695,3.523964792408936,"998876","94156",37.92768002089634
Northern Cyprus,,,,,"97969","85859",
Norway,"5465629",305368,1135,0.3716826910481779,"961289","999158",70.769128310758
Oman,"5223376",304679,4113,1.3499453523216238,"98168","9833",54.14459920174232
Pakistan,"225199929",1288366,28812,2.236321045417218,"99335067","964227",24.560207565607183
Palau,"18174",8,,,,,
Palestine,"5222756",463277,4826,1.0417093876881434,"994857","9395",26.556668548176482
Panama,"4381583",480090,7382,1.5376283613489137,"987818","98790",55.69989202532509
Papua New Guinea,"9119005",35835,573,1.5989953955629972,"8921","8352",2.169096299431791
Paraguay,"7219641",463580,16492,3.557530523318521,"99599","98360",37.44791465392808
Peru,"33359415",2249671,201527,8.958065423788634,"9949506","9934461",57.602763717529214
Philippines,"111046910",2835996,49936,1.7607923283389681,"9542612","986929",35.62512275217743
Pitcairn,"47",,,,"94","47",100.0
Poland,"37797000",3760048,87357,2.3232948090024386,"9806966","9929923",54.525049607111676
Portugal,"10167923",1181294,18610,1.5753910542168164,"995979","969630",88.66412540692922
Qatar,"2930524",244867,611,0.2495232105592015,"987673","987417",75.6960871161608
Romania,"19127772",1790571,57434,3.207580151806323,"9987918","9843",39.60386499797258
Russia,"145912022",9752340,280427,2.8754842427560976,"99443669","9926270",41.10543064093787
Rwanda,"13276517",100517,1344,1.3370872588716336,"9440343","932692",29.22650571682317
Saint Helena,"6095",,,,"7892","3531",57.932731747333875
Saint Kitts and Nevis,"53546",2792,28,1.002865329512894,"8573","9585",46.91666977925522
Saint Lucia,"184401",13067,283,2.1657610775235323,"99339","47440",25.726541613114897
Saint Vincent and the Grenadines,"111269",5645,76,1.3463241806908768,"9383","9998",21.48666744555986
Samoa,"200144",3,,,"92415","9254",54.39283715724679
San Marino,"34010",6357,94,1.4786849142677365,"9461","9792",69.83240223463687
Sao Tome and Principe,"223364",3733,57,1.5269220466113045,"9724","6514",21.198133987571858
Saudi Arabia,"35340680",550088,8850,1.608833495731592,"9949971","9923152",64.35591222353389
Senegal,"17196308",74054,1886,2.5467901801388177,"906557","936623",5.446651688257735
Serbia,"6871547",1270407,12075,0.9504827980324416,"987000","919499",45.89829626429099
Seychelles,"98910",23806,129,0.5418801982693439,"96523","77951",78.81002931958346
Sierra Leone,"8141343",6420,121,1.8847352024922117,"97315","876",4.731799163848029
Singapore,"5453600",271979,779,0.28641917206843176,"9489264","849764",87.0
Sint Maarten (Dutch part),"43421",,,,"51856","9956",57.393887750166975
Slovakia,"5460726",1265056,15179,1.1998678319378746,"983001","991276",43.26303865090466
Slovenia,"2078723",436366,5365,1.2294725070239203,"996542","999964",55.995339446381266
Solomon Islands,"703995",20,,,"97744","9934",6.608711709600209
Somalia,"16359500",23051,1331,5.774152965164201,"964433","97425",4.061383294110456
South Africa,"60041996",3074866,90060,2.9289081215246453,"9962111","9911989",25.287277258404266
South Korea,"51305184",503605,4130,0.8200871714935316,"9859615","9930",81.02221210238716
South Sudan,"11381377",12842,133,1.035664226755957,"9744","6718",1.5151154381407452
Spain,"46745211",5273178,88321,1.6749102723253417,"9811529","9979204",80.61752250941812
Sri Lanka,"21497306",570672,14555,2.5505018644685564,"991299","9994589",64.07379603751279
Sudan,"44909351",44406,3206,7.219745079493762,"827961","86153",2.7486168749132003
Suriname,"591798",51149,1176,2.2991651840700698,"96708","998",37.71709265661594
Sweden,"10160159",1226055,15185,1.2385251885111188,"9934059","95417",71.27292003993244
Switzerland,"8715494",1101789,11716,1.0633614966204963,"999706","992435",65.9006477429736
Syria,"18275704",49008,2798,5.709271955599085,"977122","9312",4.044768945699712
Taiwan,"23855008",16703,848,5.076932287613004,"9985997","996147",62.076017748558286
Tajikistan,"9749625",17493,125,0.7145715429028755,"97290","981132",26.594151057091942
Tanzania,"61498438",26309,734,2.7899197993082216,"885579","983801",1.7530559068833587
Thailand,"69950844",2160776,21112,0.9770563908521754,"9927698","994161",60.71943606570351
Timor,"1343875",19829,122,0.6152604770790258,"969619","86759",36.440070691098505
Togo,"8478242",26357,243,0.9219562165648595,"997632","76462",7.655820628852067
Tokelau,"1368",,,,"968","968",70.76023391812866
Tonga,"106759",1,,,"91707","6906",43.31157092142114
Trinidad and Tobago,"1403374",78339,2336,2.9819119467953383,"999068","97199",46.47029230981905
Tunisia,"11935764",719006,25416,3.5348800983580104,"9977626","963633",44.335561594548956
Turkey,"85042736",8163152,78602,0.9628878648835646,"99582607","9839869",59.75971069416205
Turkmenistan,"6117933",,,,"7580976","3206282",52.40792927938244
Turks and Caicos Islands,"39226",,,,"56343","27133",69.170958038036
Tuvalu,"11925",,,,"8289","5884",49.341719077568136
Uganda,"47123533",127863,3263,2.551950134127934,"990902","912983",2.7328150459346925
Ukraine,"43466822",3705823,95478,2.576431739994058,"994872","9854989",28.235137595290492
United Arab Emirates,"9991083",742567,2149,0.2894014950839453,"9900002","8832256",88.40138751724913
United Kingdom,"68207114",10722083,146592,1.3671970269209817,"99759726","9930846",68.38031147308182
United States,"332915074",49661144,794649,1.6001423567689057,"98338309","990809",59.829486423315274
Uruguay,"3485152",401897,6140,1.5277546236971165,"974741","999216",76.42734090220455
Uzbekistan,"33935765",195098,1428,0.7319398456160493,"8666096","5882086",17.33299956550265
Vanuatu,"314464",6,1,16.666666666666664,"96536","8906",14.421046606288796
Vatican,"812",27,,,,,
Venezuela,"28704947",436602,5223,1.1962840298486952,"98000","9858581",34.34453650097316
Vietnam,"98168829",1367433,27186,1.9881047188418006,"9987587","9818448",56.96857095035737
Wallis and Futuna,"11094",,,,"9902","5923",53.38921939787272
Yemen,"30490639",10047,1957,19.478451278988754,"786027","8577",1.202293595749174
Zambia,"18920657",210562,3668,1.7420047301982315,"985443","95071",4.165468461269606
Zimbabwe,"15092171",155817,4723,3.0311198392986642,"976774","99745",19.388423309012335
